Epoch [1/4998]: Training loss: 0.21202 | Validation loss: 0.19580 || Training accuracy: 10.4 % | Validation accuracy: 20.2 %
Epoch [2/4998]: Training loss: 0.19801 | Validation loss: 0.19179 || Training accuracy: 15.8 % | Validation accuracy: 20.8 %
Epoch [3/4998]: Training loss: 0.19477 | Validation loss: 0.18922 || Training accuracy: 16.3 % | Validation accuracy: 21.1 %
Epoch [4/4998]: Training loss: 0.19178 | Validation loss: 0.18737 || Training accuracy: 18.6 % | Validation accuracy: 16.7 %
Epoch [5/4998]: Training loss: 0.18959 | Validation loss: 0.18473 || Training accuracy: 18.8 % | Validation accuracy: 23.6 %
Epoch [6/4998]: Training loss: 0.18719 | Validation loss: 0.18292 || Training accuracy: 21.2 % | Validation accuracy: 16.8 %
Epoch [7/4998]: Training loss: 0.18521 | Validation loss: 0.18107 || Training accuracy: 21.4 % | Validation accuracy: 21.0 %
Epoch [8/4998]: Training loss: 0.18348 | Validation loss: 0.17924 || Training accuracy: 21.3 % | Validation accuracy: 22.7 %
Epoch [9/4998]: Training loss: 0.18194 | Validation loss: 0.17790 || Training accuracy: 21.2 % | Validation accuracy: 23.7 %
Epoch [10/4998]: Training loss: 0.18036 | Validation loss: 0.17636 || Training accuracy: 22.3 % | Validation accuracy: 21.2 %
Epoch [11/4998]: Training loss: 0.17896 | Validation loss: 0.17448 || Training accuracy: 23.0 % | Validation accuracy: 24.2 %
Epoch [12/4998]: Training loss: 0.17782 | Validation loss: 0.17393 || Training accuracy: 22.1 % | Validation accuracy: 24.8 %
Epoch [13/4998]: Training loss: 0.17618 | Validation loss: 0.17214 || Training accuracy: 24.1 % | Validation accuracy: 26.0 %
Epoch [14/4998]: Training loss: 0.17481 | Validation loss: 0.17089 || Training accuracy: 23.0 % | Validation accuracy: 25.0 %
Epoch [15/4998]: Training loss: 0.17350 | Validation loss: 0.16989 || Training accuracy: 24.2 % | Validation accuracy: 23.5 %
Epoch [16/4998]: Training loss: 0.17235 | Validation loss: 0.16848 || Training accuracy: 25.1 % | Validation accuracy: 25.3 %
Epoch [17/4998]: Training loss: 0.17105 | Validation loss: 0.16763 || Training accuracy: 24.5 % | Validation accuracy: 25.2 %
Epoch [18/4998]: Training loss: 0.16970 | Validation loss: 0.16716 || Training accuracy: 25.2 % | Validation accuracy: 25.8 %
Epoch [19/4998]: Training loss: 0.16886 | Validation loss: 0.16657 || Training accuracy: 25.4 % | Validation accuracy: 24.5 %
Epoch [20/4998]: Training loss: 0.16791 | Validation loss: 0.16546 || Training accuracy: 26.2 % | Validation accuracy: 21.9 %
Epoch [21/4998]: Training loss: 0.16674 | Validation loss: 0.16435 || Training accuracy: 25.5 % | Validation accuracy: 22.5 %
